,BP,CVX,XOM,XOM.1,RDS.A,RDS.B,AMX,CX,FMX,ALFAA,PAC,BIMBOA,GISSAA,ANB,SANMEXB,SIEN,AZTECACPO,TV,WALMEX,DATE
120,48.3172727273,65.4859090909,69.04,69.04,50.0654545455,50.1509090909,20.3575,8.52954545455,33.6440909091,4.43681818182,26.5690909091,17.4586363636,,,,,,17.4013636364,40.9218181818,2009-07-01
121,51.15,69.36,69.3757142857,69.3757142857,53.4257142857,52.6528571429,22.8733333333,11.2162095238,38.3847619048,5.4,28.0076190476,18.5542857143,,,,,,18.0152380952,46.7471428571,2009-08-01
122,53.8533333333,70.81,69.4652380952,69.4652380952,57.6161904762,56.2171428571,22.375,12.4911380952,36.3595238095,6.177,28.3914285714,18.6505,,,14.5,,,17.980952381,47.943,2009-09-01
123,54.48,74.3804545455,71.4063636364,71.4063636364,59.6927272727,58.27,23.1218181818,12.135,44.5963636364,7.25409090909,28.0663636364,19.2590909091,,,14.3725,,,19.2609090909,47.7118181818,2009-10-01
124,58.435,77.9165,73.7425,73.7425,61.369,59.7405,23.7865,10.84456,43.998,7.46666666667,27.395,20.5333333333,,,13.0,,,20.789,51.3555555556,2009-11-01
125,57.4295454545,77.5577272727,70.8368181818,70.8368181818,59.9945454545,57.8913636364,23.8063636364,11.1077454545,47.8613636364,8.24772727273,30.6640909091,22.3840909091,,,12.9865,,,20.9340909091,57.1345454545,2009-12-01
126,59.81,77.5473684211,68.0747368421,68.0747368421,60.0368421053,57.9084210526,23.3173684211,10.9810526316,44.8036842105,8.58789473684,33.2631578947,22.0052631579,9.17,,13.0882352941,,,20.2989473684,60.0942105263,2010-01-01
127,54.2136842105,72.3142105263,65.4526315789,65.4526315789,55.2594736842,53.2410526316,22.3618421053,9.16,41.7947368421,8.61166666667,33.0189473684,22.7133333333,7.57666666667,,13.9818181818,,,19.1652631579,59.6816666667,2010-02-01
128,56.5156521739,74.2156521739,66.6060869565,66.6060869565,57.6469565217,55.3369565217,24.0954347826,9.92956521739,46.2595652174,9.11727272727,36.4439130435,25.8709090909,8.80272727273,,15.1022727273,,,20.2565217391,62.7981818182,2010-03-01
129,58.4604761905,80.3166666667,68.4252380952,68.4252380952,60.9276190476,58.7161904762,25.5916666667,10.6434,47.7214285714,9.7,36.0233333333,26.5645,9.7005,,15.6769230769,,,21.0933333333,48.112,2010-04-01
130,46.6776,76.976375,63.093,63.093,54.613,52.761,24.27225,10.47795,43.2795,9.1745,33.437,23.855,10.958,,15.9425,,,18.805,28.952,2010-05-01
131,32.0194318182,72.6023863636,60.7129545455,60.7129545455,52.8813636364,50.8513636364,24.6836363636,10.2019090909,44.9645454545,9.24909090909,32.0087454545,23.805,10.36,,16.75,,,18.3413636364,29.3477272727,2010-06-01
132,35.6638095238,72.3171428571,58.9661904762,58.9661904762,54.2671428571,52.0985714286,24.7552380952,9.22585714286,45.5866666667,9.76428571429,31.3614285714,24.180952381,10.0961904762,,12.15,,,18.5842857143,29.8666666667,2010-07-01
133,37.8018181818,76.62,60.4427272727,60.4427272727,55.5640909091,53.7090909091,24.6175,8.33006363636,49.3140909091,9.50045454545,30.5863636364,23.0427272727,9.97227272727,,12.1863636364,,,19.1613636364,29.6709090909,2010-08-01
134,38.3061904762,79.0014285714,61.2471428571,61.2471428571,58.1223809524,56.5304761905,25.329047619,8.14646666667,51.0438095238,9.56526315789,31.8885714286,23.1984210526,10.9815789474,,15.25,,,18.9433333333,30.4257894737,2010-09-01
135,41.0352380952,83.7233333333,65.0533333333,65.0533333333,62.9238095238,61.4857142857,28.089047619,7.96364761905,52.98,9.84761904762,35.650952381,23.7857142857,11.8614285714,,17.8,,,21.7704761905,32.1633333333,2010-10-01
136,42.1366666667,83.4228571429,69.6957142857,69.6957142857,65.0552380952,64.270952381,28.7761904762,8.89,55.4885714286,10.8463157895,37.170952381,24.6705263158,12.4873684211,,17.8,,,22.9676190476,34.3157894737,2010-11-01
137,43.2763636364,88.165,72.3090909091,72.3090909091,64.9877272727,64.8731818182,28.4172727273,9.78202272727,56.1377272727,11.7631818182,39.5204545455,26.3040909091,14.9313636364,,15.97,,,25.2277272727,35.2322727273,2010-12-01
138,47.129,92.762,77.3515,77.3515,68.1645,68.2405,29.109,10.0367,55.4165,13.14,40.459,25.9375,16.2125,,16.725,,,25.1495,34.6965,2011-01-01
139,47.0652631579,98.3273684211,84.1484210526,84.1484210526,70.4652631579,70.4789473684,28.4497368421,9.09110526316,54.4994736842,14.3916666667,38.6894736842,24.3888888889,15.69875,,14.3513333333,,,24.1484210526,34.5766666667,2011-02-01
140,46.0765217391,103.73,83.1634782609,83.1634782609,70.8156521739,70.5613043478,27.8354347826,8.43783478261,57.2526086957,14.925,40.5326086957,24.1627272727,15.5154545455,,12.85,,8.252,23.577826087,35.2504545455,2011-03-01
141,45.952,107.463,85.337,85.337,74.2245,74.392,28.82675,8.47881,61.763,16.8647368421,41.07,25.3194736842,15.6442105263,,15.6692307692,,8.27947368421,23.4525,35.5973684211,2011-04-01
142,44.3271428571,103.339047619,82.4271428571,82.4271428571,71.3466666667,71.9695238095,25.93,7.91885714286,62.0271428571,16.5657142857,41.2352380952,25.8971428571,15.2580952381,,13.3,,7.96619047619,23.33,34.7714285714,2011-05-01
143,43.245,100.197727273,79.8890909091,79.8890909091,69.2354545455,69.7840909091,25.16,7.76640909091,63.0086363636,17.0059090909,40.6990909091,27.2404545455,14.1477272727,,13.0,,8.41454545455,23.2822727273,34.6877272727,2011-06-01
144,44.854,106.054,82.7395,82.7395,72.602,73.1065,26.1035,7.522055,68.382,17.3335,40.52,27.2125,14.0425,,15.0,,9.165,22.668,33.341,2011-07-01
145,40.1056521739,96.897826087,73.2082608696,73.2082608696,65.2213043478,65.5095652174,23.882173913,5.21617391304,67.2343478261,15.5452173913,38.5413043478,25.2660869565,13.64,,10.88,,7.71,20.4430434783,31.32,2011-08-01
146,37.2242857143,95.5319047619,72.3995238095,72.3995238095,64.0652380952,64.7980952381,23.4180952381,4.23328571429,66.3142857143,14.6885,36.059047619,24.847,12.7653333333,,9.0,,7.3765,19.1952380952,31.659,2011-09-01
147,40.280952381,100.527619048,77.3966666667,77.3966666667,68.05,69.2438095238,23.4028571429,3.31450952381,67.9833333333,15.21,34.390952381,27.420952381,12.023,,10.0,,7.60333333333,20.2671428571,33.1704761905,2011-10-01
