,DATE,PRODUCT,DEMAND
309,2008-08-01,TOTAL Diesel,1889637
310,2008-08-01,TOTAL Magna,3431639
311,2008-08-01,TOTAL Premium,518150
312,2008-09-01,TOTAL Diesel,1805940
313,2008-09-01,TOTAL Magna,3384928
314,2008-09-01,TOTAL Premium,470436
315,2008-10-01,TOTAL Diesel,1962356
316,2008-10-01,TOTAL Magna,3534637
317,2008-10-01,TOTAL Premium,461044
318,2008-11-01,TOTAL Diesel,1797181
319,2008-11-01,TOTAL Magna,3335025
320,2008-11-01,TOTAL Premium,409731
321,2008-12-01,TOTAL Diesel,1786564
322,2008-12-01,TOTAL Magna,3817677
323,2008-12-01,TOTAL Premium,463634
324,2009-01-01,TOTAL Diesel,1677830
325,2009-01-01,TOTAL Magna,3478602
326,2009-01-01,TOTAL Premium,405671
327,2009-02-01,TOTAL Diesel,1579189
328,2009-02-01,TOTAL Magna,3203280
329,2009-02-01,TOTAL Premium,368458
330,2009-03-01,TOTAL Diesel,1754614
331,2009-03-01,TOTAL Magna,3508722
332,2009-03-01,TOTAL Premium,416525
333,2009-04-01,TOTAL Diesel,1693795
334,2009-04-01,TOTAL Magna,3448371
335,2009-04-01,TOTAL Premium,397887
336,2009-05-01,TOTAL Diesel,1722639
337,2009-05-01,TOTAL Magna,3398384
338,2009-05-01,TOTAL Premium,411060
339,2009-06-01,TOTAL Diesel,1791628
340,2009-06-01,TOTAL Magna,3570822
341,2009-06-01,TOTAL Premium,417529
342,2009-07-01,TOTAL Diesel,1825999
343,2009-07-01,TOTAL Magna,3670838
344,2009-07-01,TOTAL Premium,416740
345,2009-08-01,TOTAL Diesel,1714524
346,2009-08-01,TOTAL Magna,3537680
347,2009-08-01,TOTAL Premium,403009
348,2009-09-01,TOTAL Diesel,1692260
349,2009-09-01,TOTAL Magna,3446641
350,2009-09-01,TOTAL Premium,384131
351,2009-10-01,TOTAL Diesel,1815849
352,2009-10-01,TOTAL Magna,3645334
353,2009-10-01,TOTAL Premium,393876
354,2009-11-01,TOTAL Diesel,1729279
355,2009-11-01,TOTAL Magna,3431182
356,2009-11-01,TOTAL Premium,369612
357,2009-12-01,TOTAL Diesel,1806349
358,2009-12-01,TOTAL Magna,3948684
359,2009-12-01,TOTAL Premium,438216
360,2010-01-01,TOTAL Diesel,1626625
361,2010-01-01,TOTAL Magna,3445257
362,2010-01-01,TOTAL Premium,363786
363,2010-02-01,TOTAL Diesel,1563610
364,2010-02-01,TOTAL Magna,3286999
365,2010-02-01,TOTAL Premium,340666
366,2010-03-01,TOTAL Diesel,1912393
367,2010-03-01,TOTAL Magna,3805785
368,2010-03-01,TOTAL Premium,386344
369,2010-04-01,TOTAL Diesel,1760676
370,2010-04-01,TOTAL Magna,3523627
371,2010-04-01,TOTAL Premium,357582
372,2010-05-01,TOTAL Diesel,1836303
373,2010-05-01,TOTAL Magna,3680020
374,2010-05-01,TOTAL Premium,360761
375,2010-06-01,TOTAL Diesel,1875841
376,2010-06-01,TOTAL Magna,3646778
377,2010-06-01,TOTAL Premium,367334
378,2010-07-01,TOTAL Diesel,1796226
379,2010-07-01,TOTAL Magna,3671243
380,2010-07-01,TOTAL Premium,358901
381,2010-08-01,TOTAL Diesel,1805486
382,2010-08-01,TOTAL Magna,3624378
383,2010-08-01,TOTAL Premium,369594
384,2010-09-01,TOTAL Diesel,1712445
385,2010-09-01,TOTAL Magna,3490754
386,2010-09-01,TOTAL Premium,345006
387,2010-10-01,TOTAL Diesel,1855315
388,2010-10-01,TOTAL Magna,3594423
389,2010-10-01,TOTAL Premium,359669
390,2010-11-01,TOTAL Diesel,1860297
391,2010-11-01,TOTAL Magna,3593715
392,2010-11-01,TOTAL Premium,349768
393,2010-12-01,TOTAL Diesel,1866579
394,2010-12-01,TOTAL Magna,3945614
395,2010-12-01,TOTAL Premium,392683
396,2011-01-01,TOTAL Diesel,1711788
397,2011-01-01,TOTAL Magna,3475330
398,2011-01-01,TOTAL Premium,331796
399,2011-02-01,TOTAL Diesel,1672468
400,2011-02-01,TOTAL Magna,3298947
401,2011-02-01,TOTAL Premium,317329
402,2011-03-01,TOTAL Diesel,1925437
403,2011-03-01,TOTAL Magna,3745193
404,2011-03-01,TOTAL Premium,357402
405,2011-04-01,TOTAL Diesel,1781691
406,2011-04-01,TOTAL Magna,3611205
407,2011-04-01,TOTAL Premium,348228
408,2011-05-01,TOTAL Diesel,1891996
409,2011-05-01,TOTAL Magna,3649905
410,2011-05-01,TOTAL Premium,360758
411,2011-06-01,TOTAL Diesel,1889744
412,2011-06-01,TOTAL Magna,3600066
413,2011-06-01,TOTAL Premium,379526
414,2011-07-01,TOTAL Diesel,1838959
415,2011-07-01,TOTAL Magna,3524660
416,2011-07-01,TOTAL Premium,360750
417,2011-08-01,TOTAL Diesel,1942928
418,2011-08-01,TOTAL Magna,3700909
419,2011-08-01,TOTAL Premium,388783
420,2011-09-01,TOTAL Diesel,1813271
421,2011-09-01,TOTAL Magna,3506768
422,2011-09-01,TOTAL Premium,366414
423,2011-10-01,TOTAL Diesel,1895582
424,2011-10-01,TOTAL Magna,3562321
425,2011-10-01,TOTAL Premium,363061
426,2011-11-01,TOTAL Diesel,1925112
427,2011-11-01,TOTAL Magna,3560688
428,2011-11-01,TOTAL Premium,379589
429,2011-12-01,TOTAL Diesel,1956441
430,2011-12-01,TOTAL Magna,3862056
431,2011-12-01,TOTAL Premium,423682
432,2012-01-01,TOTAL Diesel,1835636
433,2012-01-01,TOTAL Magna,3519032
434,2012-01-01,TOTAL Premium,387919
435,2012-02-01,TOTAL Diesel,1790062
436,2012-02-01,TOTAL Magna,3360468
437,2012-02-01,TOTAL Premium,378068
438,2012-03-01,TOTAL Diesel,2022103
439,2012-03-01,TOTAL Magna,3680646
440,2012-03-01,TOTAL Premium,439859
441,2012-04-01,TOTAL Diesel,1833579
442,2012-04-01,TOTAL Magna,3394542
443,2012-04-01,TOTAL Premium,426136
444,2012-05-01,TOTAL Diesel,2059229
445,2012-05-01,TOTAL Magna,3664455
446,2012-05-01,TOTAL Premium,492524
447,2012-06-01,TOTAL Diesel,1984270
448,2012-06-01,TOTAL Magna,3527654
449,2012-06-01,TOTAL Premium,486124
450,2012-07-01,TOTAL Diesel,1942285
451,2012-07-01,TOTAL Magna,3469289
452,2012-07-01,TOTAL Premium,493074
453,2012-08-01,TOTAL Diesel,1982248
454,2012-08-01,TOTAL Magna,3505272
455,2012-08-01,TOTAL Premium,532264
456,2012-09-01,TOTAL Diesel,1822735
457,2012-09-01,TOTAL Magna,3264005
458,2012-09-01,TOTAL Premium,499307
459,2012-10-01,TOTAL Diesel,2061252
460,2012-10-01,TOTAL Magna,3534140
461,2012-10-01,TOTAL Premium,539577
462,2012-11-01,TOTAL Diesel,1998719
463,2012-11-01,TOTAL Magna,3364140
464,2012-11-01,TOTAL Premium,523915
465,2012-12-01,TOTAL Diesel,1927290
466,2012-12-01,TOTAL Magna,3593125
467,2012-12-01,TOTAL Premium,578595
468,2013-01-01,TOTAL Diesel,1896253
469,2013-01-01,TOTAL Magna,3311869
470,2013-01-01,TOTAL Premium,546499
471,2013-02-01,TOTAL Diesel,1782777
472,2013-02-01,TOTAL Magna,3051425
473,2013-02-01,TOTAL Premium,510884
474,2013-03-01,TOTAL Diesel,1899257
475,2013-03-01,TOTAL Magna,3319431
476,2013-03-01,TOTAL Premium,575009
477,2013-04-01,TOTAL Diesel,2004249
478,2013-04-01,TOTAL Magna,3253245
479,2013-04-01,TOTAL Premium,587525
480,2013-05-01,TOTAL Diesel,2066302
481,2013-05-01,TOTAL Magna,3397307
482,2013-05-01,TOTAL Premium,636072
483,2013-06-01,TOTAL Diesel,1906161
484,2013-06-01,TOTAL Magna,3154685
485,2013-06-01,TOTAL Premium,597134
486,2013-07-01,TOTAL Diesel,1962806
487,2013-07-01,TOTAL Magna,3343218
488,2013-07-01,TOTAL Premium,653993
489,2013-08-01,TOTAL Diesel,1899612
490,2013-08-01,TOTAL Magna,3307739
491,2013-08-01,TOTAL Premium,660352
492,2013-09-01,TOTAL Diesel,1655013
493,2013-09-01,TOTAL Magna,3000187
494,2013-09-01,TOTAL Premium,585896
495,2013-10-01,TOTAL Diesel,1970743
496,2013-10-01,TOTAL Magna,3291476
497,2013-10-01,TOTAL Premium,667488
498,2013-11-01,TOTAL Diesel,1882209
499,2013-11-01,TOTAL Magna,3151421
500,2013-11-01,TOTAL Premium,639008
501,2013-12-01,TOTAL Diesel,1871186
502,2013-12-01,TOTAL Magna,3404152
503,2013-12-01,TOTAL Premium,693881
504,2014-01-01,TOTAL Diesel,1822758
505,2014-01-01,TOTAL Magna,3127709
506,2014-01-01,TOTAL Premium,669239
