DATE,STATE,PRODUCT,DEMAND
4/1/00,NAYARIT,TOTAL Magna,6420
4/1/00,NAYARIT,TOTAL Premium,1540
4/1/00,NAYARIT,TOTAL Diesel,2246
4/1/00,NUEVO LEON,TOTAL Magna,118479
4/1/00,NUEVO LEON,TOTAL Premium,19867
4/1/00,NUEVO LEON,TOTAL Diesel,79991
4/1/00,OAXACA,TOTAL Magna,34137
4/1/00,OAXACA,TOTAL Premium,2609
4/1/00,OAXACA,TOTAL Diesel,21088
4/1/00,PUEBLA,TOTAL Magna,85910
4/1/00,PUEBLA,TOTAL Premium,7694
4/1/00,PUEBLA,TOTAL Diesel,46368
4/1/00,QUERETARO,TOTAL Magna,49077
4/1/00,QUERETARO,TOTAL Premium,5445
4/1/00,QUERETARO,TOTAL Diesel,45010
4/1/00,SAN LUIS POTOSI,TOTAL Magna,28553
4/1/00,SAN LUIS POTOSI,TOTAL Premium,6183
4/1/00,SAN LUIS POTOSI,TOTAL Diesel,23842
4/1/00,SINALOA,TOTAL Magna,73610
4/1/00,SINALOA,TOTAL Premium,11144
4/1/00,SINALOA,TOTAL Diesel,65027
4/1/00,SONORA,TOTAL Magna,65375
4/1/00,SONORA,TOTAL Premium,4678
4/1/00,SONORA,TOTAL Diesel,53404
4/1/00,TABASCO,TOTAL Magna,38780
4/1/00,TABASCO,TOTAL Premium,1561
4/1/00,TABASCO,TOTAL Diesel,31282
4/1/00,TAMAULIPAS,TOTAL Magna,96535
4/1/00,TAMAULIPAS,TOTAL Premium,41404
4/1/00,TAMAULIPAS,TOTAL Diesel,56076
4/1/00,VERACRUZ,TOTAL Magna,99557
4/1/00,VERACRUZ,TOTAL Premium,14929
4/1/00,VERACRUZ,TOTAL Diesel,111992
4/1/00,YUCATAN,TOTAL Magna,52109
4/1/00,YUCATAN,TOTAL Premium,7035
4/1/00,YUCATAN,TOTAL Diesel,49451
4/1/00,ZACATECAS,TOTAL Magna,27959
4/1/00,ZACATECAS,TOTAL Premium,1770
4/1/00,ZACATECAS,TOTAL Diesel,14340
5/1/00,AGUASCALIENTES,TOTAL Magna,38530
5/1/00,AGUASCALIENTES,TOTAL Premium,3063
5/1/00,AGUASCALIENTES,TOTAL Diesel,22192
5/1/00,BAJA CALIFORNIA,TOTAL Magna,114890
5/1/00,BAJA CALIFORNIA,TOTAL Premium,27867
5/1/00,BAJA CALIFORNIA,TOTAL Diesel,52237
5/1/00,BAJA CALIFORNIA SUR,TOTAL Magna,17296
5/1/00,BAJA CALIFORNIA SUR,TOTAL Premium,3938
5/1/00,BAJA CALIFORNIA SUR,TOTAL Diesel,9577
5/1/00,CAMPECHE,TOTAL Magna,13557
5/1/00,CAMPECHE,TOTAL Premium,1094
5/1/00,CAMPECHE,TOTAL Diesel,9863
5/1/00,CHIAPAS,TOTAL Magna,39886
5/1/00,CHIAPAS,TOTAL Premium,3693
5/1/00,CHIAPAS,TOTAL Diesel,19787
5/1/00,COAHUILA,TOTAL Magna,46497
5/1/00,COAHUILA,TOTAL Premium,4649
5/1/00,COAHUILA,TOTAL Diesel,38196
5/1/00,CHIHUAHUA,TOTAL Magna,105590
5/1/00,CHIHUAHUA,TOTAL Premium,7058
5/1/00,CHIHUAHUA,TOTAL Diesel,57961
5/1/00,COLIMA,TOTAL Magna,19327
5/1/00,COLIMA,TOTAL Premium,4176
5/1/00,COLIMA,TOTAL Diesel,17670
5/1/00,MEXICO CITY,TOTAL Magna,413530
5/1/00,MEXICO CITY,TOTAL Premium,54653
5/1/00,MEXICO CITY,TOTAL Diesel,110348
5/1/00,DURANGO,TOTAL Magna,59019
5/1/00,DURANGO,TOTAL Premium,5655
5/1/00,DURANGO,TOTAL Diesel,50764
5/1/00,GUANAJUATO,TOTAL Magna,108844
5/1/00,GUANAJUATO,TOTAL Premium,10902
5/1/00,GUANAJUATO,TOTAL Diesel,87471
5/1/00,GUERRERO,TOTAL Magna,35297
5/1/00,GUERRERO,TOTAL Premium,7813
5/1/00,GUERRERO,TOTAL Diesel,16544
5/1/00,HIDALGO,TOTAL Magna,58429
